Model,Horizon_Days,Test_Start,Test_End,Test_Observations,MAE,RMSE,MAPE,WAPE,Bias
Random Forest,7,2025-01-01,2025-12-31,365,163.14119178082194,240.36024506535338,0.0269293729169562,0.028339568718529592,57.03639726027398
HistGradientBoosting,30,2025-01-01,2025-12-31,365,168.8839472056461,238.84702957062945,0.027770196186109573,0.029337153756489605,105.90746077407456
Linear Regression,90,2025-01-01,2025-12-31,365,253.74052870902528,376.3029061695544,0.04572877800322525,0.044077752966806376,-221.2252100048326
